% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.078	1	7	8	9	52	28	549	0	0	0
0.078	1	7	8	9	52	28	549	0	0	1
0.079	1	14	8	10	72	28	549	0	0	0
0.079	1	14	8	10	72	28	549	0	0	1
0.08	1	5	9	1	78	0	19	0	0	0
0.08	1	5	9	1	78	0	19	0	0	1
0.081	1	14	9	2	72	28	549	0	0	0
0.081	1	14	9	2	72	28	549	0	0	1
0.082	1	5	9	3	78	0	19	0	0	0
0.082	1	5	9	3	78	0	19	0	0	1
0.083	1	14	9	4	72	28	549	0	0	0
0.083	1	14	9	4	72	28	549	0	0	1
0.084	1	3	9	5	10	28	549	0	0	0
0.084	1	3	9	5	10	28	549	0	0	1
0.085	1	5	9	6	78	28	549	0	0	0
0.085	1	5	9	6	78	28	549	0	0	1
0.086	1	8	9	7	83	0	19	0	0	0
0.086	1	8	9	7	83	0	19	0	0	1
0.087	1	5	9	8	78	28	549	0	0	0
0.087	1	5	9	8	78	28	549	0	0	1
0.088	1	8	9	9	83	0	19	0	0	0
0.088	1	8	9	9	83	0	19	0	0	1
0.089	1	5	9	10	78	28	549	0	0	0
0.089	1	5	9	10	78	28	549	0	0	1
0.09	1	12	10	1	59	28	549	0	0	0
0.09	1	12	10	1	59	28	549	0	0	1
0.091	1	8	10	2	83	28	549	0	0	0
0.091	1	8	10	2	83	28	549	0	0	1
0.092	1	13	10	3	87	0	19	0	0	0
0.092	1	13	10	3	87	0	19	0	0	1
0.093	1	8	10	4	83	28	549	0	0	0
0.093	1	8	10	4	83	28	549	0	0	1
0.094	1	13	10	5	87	0	19	0	0	0
0.094	1	13	10	5	87	0	19	0	0	1
0.095	1	8	10	6	83	28	549	0	0	0
0.095	1	8	10	6	83	28	549	0	0	1
0.096	1	6	10	7	20	28	549	0	0	0
0.096	1	6	10	7	20	28	549	0	0	1
0.097	1	13	10	8	87	28	549	0	0	0
0.097	1	13	10	8	87	28	549	0	0	1
0.098	1	2	10	9	90	0	19	0	0	0
0.098	1	2	10	9	90	0	19	0	0	1
0.099	1	13	10	10	87	28	549	0	0	0
0.099	1	13	10	10	87	28	549	0	0	1
0.1	1	2	11	1	90	0	19	0	0	0
0.1	1	2	11	1	90	0	19	0	0	1
0.101	1	13	11	2	87	28	549	0	0	0
0.101	1	13	11	2	87	28	549	0	0	1
0.102	1	9	11	3	65	28	549	0	0	0
0.102	1	9	11	3	65	28	549	0	0	1
0.103	1	2	11	4	90	28	549	0	0	0
0.103	1	2	11	4	90	28	549	0	0	1
0.104	1	15	11	5	92	0	19	0	0	0
0.104	1	15	11	5	92	0	19	0	0	1
0.105	1	2	11	6	90	28	549	0	0	0
0.105	1	2	11	6	90	28	549	0	0	1
0.106	1	15	11	7	92	0	19	0	0	0
0.106	1	15	11	7	92	0	19	0	0	1
0.107	1	2	11	8	90	28	549	0	0	0
0.107	1	2	11	8	90	28	549	0	0	1
0.108	1	10	11	9	31	28	549	0	0	0
0.108	1	10	11	9	31	28	549	0	0	1
0.109	1	15	11	10	92	28	549	0	0	0
0.109	1	15	11	10	92	28	549	0	0	1
0.11	1	15	12	1	92	28	549	0	0	0
0.11	1	15	12	1	92	28	549	0	0	1
0.111	1	15	12	2	92	28	549	0	0	0
0.111	1	15	12	2	92	28	549	0	0	1
0.112	1	14	12	3	72	28	549	0	0	0
0.112	1	14	12	3	72	28	549	0	0	1
0.113	1	1	12	4	39	28	549	0	0	0
0.113	1	1	12	4	39	28	549	0	0	1
0.114	1	5	12	5	78	28	549	0	0	0
0.114	1	5	12	5	78	28	549	0	0	1
0.115	1	4	12	6	44	28	549	0	0	0
0.115	1	4	12	6	44	28	549	0	0	1
0.116	1	11	12	7	1	28	549	0	0	0
0.116	1	11	12	7	1	28	549	0	0	1
0.117	1	8	12	8	83	28	549	0	0	0
0.117	1	8	12	8	83	28	549	0	0	1
0.118	1	7	12	9	52	28	549	0	0	0
0.118	1	7	12	9	52	28	549	0	0	1
0.119	1	3	12	10	10	28	549	0	0	0
0.119	1	3	12	10	10	28	549	0	0	1
0.12	1	13	13	1	87	28	549	0	0	0
0.12	1	13	13	1	87	28	549	0	0	1
0.121	1	12	13	2	59	28	549	0	0	0
0.121	1	12	13	2	59	28	549	0	0	1
0.122	1	6	13	3	20	28	549	0	0	0
0.122	1	6	13	3	20	28	549	0	0	1
0.123	1	2	13	4	90	28	549	0	0	0
0.123	1	2	13	4	90	28	549	0	0	1
0.124	1	15	13	5	92	28	549	0	0	0
0.124	1	15	13	5	92	28	549	0	0	1
0.125	1	9	13	6	65	28	549	0	0	0
0.125	1	9	13	6	65	28	549	0	0	1
0.126	1	10	13	7	31	28	549	0	0	0
0.126	1	10	13	7	31	28	549	0	0	1
0.127	1	14	13	8	72	28	549	0	0	0
0.127	1	14	13	8	72	28	549	0	0	1
0.128	1	1	13	9	39	28	549	0	0	0
0.128	1	1	13	9	39	28	549	0	0	1
0.129	1	5	13	10	78	28	549	0	0	0
0.129	1	5	13	10	78	28	549	0	0	1
0.13	1	4	14	1	44	28	549	0	0	0
0.13	1	4	14	1	44	28	549	0	0	1
0.131	1	11	14	2	1	28	549	0	0	0
0.131	1	11	14	2	1	28	549	0	0	1
0.132	1	8	14	3	83	28	549	0	0	0
0.132	1	8	14	3	83	28	549	0	0	1
0.133	1	7	14	4	52	28	549	0	0	0
0.133	1	7	14	4	52	28	549	0	0	1
0.134	1	3	14	5	10	28	549	0	0	0
0.134	1	3	14	5	10	28	549	0	0	1
0.135	1	13	14	6	87	28	549	0	0	0
0.135	1	13	14	6	87	28	549	0	0	1
0.136	1	12	14	7	59	28	549	0	0	0
0.136	1	12	14	7	59	28	549	0	0	1
0.137	1	6	14	8	20	28	549	0	0	0
0.137	1	6	14	8	20	28	549	0	0	1
0.138	1	2	14	9	90	28	549	0	0	0
0.138	1	2	14	9	90	28	549	0	0	1
0.139	1	15	14	10	92	28	549	0	0	0
0.139	1	15	14	10	92	28	549	0	0	1
0.14	1	9	15	1	65	28	549	0	0	0
0.14	1	9	15	1	65	28	549	0	0	1
0.141	1	10	15	2	31	28	549	0	0	0
0.141	1	10	15	2	31	28	549	0	0	1
0.142	1	14	15	3	72	28	549	0	0	0
0.142	1	14	15	3	72	28	549	0	0	1
0.143	1	1	15	4	39	28	549	0	0	0
0.143	1	1	15	4	39	28	549	0	0	1
0.144	1	5	15	5	78	28	549	0	0	0
0.144	1	5	15	5	78	28	549	0	0	1
0.145	1	4	15	6	44	28	549	0	0	0
0.145	1	4	15	6	44	28	549	0	0	1
0.146	1	11	15	7	1	28	549	0	0	0
0.146	1	11	15	7	1	28	549	0	0	1
0.147	1	8	15	8	83	28	549	0	0	0
0.147	1	8	15	8	83	28	549	0	0	1
0.148	1	7	15	9	52	28	549	0	0	0
0.148	1	7	15	9	52	28	549	0	0	1
0.149	1	3	15	10	10	28	549	0	0	0
0.149	1	3	15	10	10	28	549	0	0	1
0.15	1	13	16	1	87	28	549	0	0	0
0.15	1	13	16	1	87	28	549	0	0	1
0.151	1	12	16	2	59	28	549	0	0	0
0.151	1	12	16	2	59	28	549	0	0	1
0.152	1	6	16	3	20	28	549	0	0	0
0.152	1	6	16	3	20	28	549	0	0	1
0.153	1	2	16	4	90	28	549	0	0	0
0.153	1	2	16	4	90	28	549	0	0	1
0.154	1	15	16	5	92	28	549	0	0	0
0.154	1	15	16	5	92	28	549	0	0	1
0.155	1	9	16	6	65	28	549	0	0	0
