% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
77	2	3	10	0	20	161	0	1	1
77	2	11	1	0	20	161	0	1	1
78	2	6	20	0	20	161	0	1	1
78	2	10	31	0	20	161	0	1	1
79	1	12	59	0	0	7	0	1	0
79	1	7	52	0	0	7	0	1	0
79	2	1	39	0	0	7	0	1	1
79	2	4	44	0	0	7	0	1	1
80	1	11	1	0	20	161	0	1	0
80	1	9	65	0	0	7	0	1	0
80	2	7	52	0	0	7	0	1	1
80	2	12	59	0	0	7	0	1	1
81	1	3	10	0	20	161	0	1	0
81	1	6	20	0	20	161	0	1	0
81	2	9	65	0	0	7	0	1	1
81	2	11	1	0	20	161	0	1	1
82	1	10	31	0	20	161	0	1	0
82	2	6	20	0	20	161	0	1	1
82	2	3	10	0	20	161	0	1	1
83	2	1	39	0	0	7	0	1	1
83	2	10	31	0	20	161	0	1	1
84	1	7	52	0	0	7	0	1	0
84	2	7	52	0	0	7	0	1	1
84	2	4	44	0	0	7	0	1	1
85	1	12	59	0	0	7	0	1	0
85	1	9	65	0	0	7	0	1	0
85	2	9	65	0	0	7	0	1	1
85	2	12	59	0	0	7	0	1	1
86	1	11	1	0	20	161	0	1	0
86	1	14	72	0	0	7	0	1	0
86	2	14	72	0	0	7	0	1	1
86	2	11	1	0	20	161	0	1	1
87	1	3	10	0	20	161	0	1	0
87	1	6	20	0	20	161	0	1	0
87	2	6	20	0	20	161	0	1	1
87	2	3	10	0	20	161	0	1	1
88	1	1	39	0	20	161	0	1	0
88	1	10	31	0	20	161	0	1	0
88	2	1	39	0	20	161	0	1	1
88	2	10	31	0	20	161	0	1	1
89	2	7	52	0	0	7	0	1	1
89	2	4	44	0	0	7	0	1	1
90	1	7	52	0	0	7	0	1	0
90	2	9	65	0	0	7	0	1	1
90	2	12	59	0	20	161	0	1	1
91	1	12	59	0	20	161	0	1	0
91	2	5	78	0	20	161	0	1	1
91	2	14	72	0	0	7	0	1	1
92	1	5	78	0	20	161	0	1	0
92	1	14	72	0	0	7	0	1	0
92	2	3	10	0	20	161	0	1	1
92	2	11	1	0	20	161	0	1	1
93	1	3	10	0	20	161	0	1	0
93	1	11	1	0	20	161	0	1	0
93	2	6	20	0	20	161	0	1	1
93	2	10	31	0	20	161	0	1	1
94	1	10	31	0	20	161	0	1	0
94	1	6	20	0	20	161	0	1	0
94	2	1	39	0	20	161	0	1	1
94	2	4	44	0	20	161	0	1	1
95	2	7	52	0	0	7	0	1	1
95	2	12	59	0	20	161	0	1	1
96	1	1	39	0	20	161	0	1	0
96	1	4	44	0	20	161	0	1	0
96	2	9	65	0	20	161	0	1	1
96	2	14	72	0	0	7	0	1	1
97	1	12	59	0	20	161	0	1	0
97	1	7	52	0	0	7	0	1	0
97	2	5	78	0	20	161	0	1	1
97	2	8	83	0	20	161	0	1	1
98	1	9	65	0	20	161	0	1	0
98	2	3	10	0	20	161	0	1	1
98	2	11	1	0	20	161	0	1	1
99	1	8	83	0	20	161	0	1	0
99	1	5	78	0	20	161	0	1	0
99	2	6	20	0	20	161	0	1	1
99	2	10	31	0	20	161	0	1	1
100	1	3	10	0	20	161	0	1	0
100	1	11	1	0	20	161	0	1	0
100	2	1	39	0	20	161	0	1	1
100	2	4	44	0	20	161	0	1	1
101	2	7	52	0	20	161	0	1	1
101	2	12	59	0	20	161	0	1	1
102	1	10	31	0	20	161	0	1	0
102	1	6	20	0	20	161	0	1	0
102	2	9	65	0	20	161	0	1	1
102	2	14	72	0	20	161	0	1	1
103	1	1	39	0	20	161	0	1	0
103	1	4	44	0	20	161	0	1	0
103	2	5	78	0	20	161	0	1	1
103	2	8	83	0	20	161	0	1	1
104	1	12	59	0	20	161	0	1	0
104	2	13	87	0	0	7	0	1	1
104	2	11	1	0	20	161	0	1	1
105	1	9	65	0	20	161	0	1	0
105	1	14	72	0	20	161	0	1	0
105	2	6	20	0	20	161	0	1	1
105	2	3	10	0	20	161	0	1	1
106	1	8	83	0	20	161	0	1	0
106	1	5	78	0	20	161	0	1	0
106	2	1	39	0	20	161	0	1	1
106	2	10	31	0	20	161	0	1	1
107	2	7	52	0	20	161	0	1	1
107	2	4	44	0	20	161	0	1	1
108	1	11	1	0	20	161	0	1	0
108	1	13	87	0	0	7	0	1	0
108	2	9	65	0	20	161	0	1	1
108	2	12	59	0	20	161	0	1	1
109	1	3	10	0	20	161	0	1	0
109	1	6	20	0	20	161	0	1	0
109	2	5	78	0	20	161	0	1	1
109	2	14	72	0	20	161	0	1	1
110	1	1	39	0	20	161	0	1	0
110	1	10	31	0	20	161	0	1	0
110	2	8	83	0	20	161	0	1	1
110	2	13	87	0	0	7	0	1	1
111	1	4	44	0	20	161	0	1	0
111	1	7	52	0	20	161	0	1	0
111	2	2	90	0	0	7	0	1	1
111	2	11	1	0	20	161	0	1	1
112	1	12	59	0	20	161	0	1	0
112	1	9	65	0	20	161	0	1	0
112	2	6	20	0	20	161	0	1	1
112	2	3	10	0	20	161	0	1	1
113	1	5	78	0	20	161	0	1	0
113	1	14	72	0	20	161	0	1	0
113	2	1	39	0	20	161	0	1	1
113	2	10	31	0	20	161	0	1	1
114	1	8	83	0	20	161	0	1	0
114	1	13	87	0	0	7	0	1	0
114	2	7	52	0	20	161	0	1	1
114	2	4	44	0	20	161	0	1	1
115	1	2	90	0	0	7	0	1	0
115	1	15	92	0	0	7	0	1	0
115	2	9	65	0	20	161	0	1	1
115	2	12	59	0	20	161	0	1	1
116	1	3	10	0	20	161	0	1	0
116	1	11	1	0	20	161	0	1	0
116	2	5	78	0	20	161	0	1	1
116	2	14	72	0	20	161	0	1	1
117	1	10	31	0	20	161	0	1	0
117	1	6	20	0	20	161	0	1	0
117	2	8	83	0	20	161	0	1	1
117	2	13	87	0	0	7	0	1	1
118	1	1	39	0	20	161	0	1	0
118	1	4	44	0	20	161	0	1	0
118	2	2	90	0	0	7	0	1	1
118	2	15	92	0	0	7	0	1	1
119	1	12	59	0	20	161	0	1	0
119	2	3	10	0	20	161	0	1	1
119	2	11	1	0	20	161	0	1	1
120	1	9	65	0	20	161	0	1	0
120	1	14	72	0	20	161	0	1	0
120	2	6	20	0	20	161	0	1	1
120	2	10	31	0	20	161	0	1	1
121	1	8	83	0	20	161	0	1	0
121	1	5	78	0	20	161	0	1	0
121	2	1	39	0	20	161	0	1	1
121	2	4	44	0	20	161	0	1	1
122	1	2	90	0	0	7	0	1	0
122	2	7	52	0	20	161	0	1	1
122	2	12	59	0	20	161	0	1	1
123	1	11	1	0	20	161	0	1	0
123	1	15	92	0	0	7	0	1	0
123	2	9	65	0	20	161	0	1	1
123	2	14	72	0	20	161	0	1	1
124	1	3	10	0	20	161	0	1	0
124	1	6	20	0	20	161	0	1	0
124	2	5	78	0	20	161	0	1	1
124	2	8	83	0	20	161	0	1	1
125	1	1	39	0	20	161	0	1	0
125	1	10	31	0	20	161	0	1	0
125	2	2	90	0	0	7	0	1	1
125	2	13	87	0	0	7	0	1	1
126	1	4	44	0	20	161	0	1	0
126	1	7	52	0	20	161	0	1	0
126	2	15	92	0	0	7	0	1	1
126	2	11	1	0	20	161	0	1	1
127	1	12	59	0	20	161	0	1	0
127	1	9	65	0	20	161	0	1	0
127	2	6	20	0	20	161	0	1	1
127	2	3	10	0	20	161	0	1	1
128	1	5	78	0	20	161	0	1	0
128	1	14	72	0	20	161	0	1	0
128	2	1	39	0	20	161	0	1	1
128	2	10	31	0	20	161	0	1	1
129	1	8	83	0	20	161	0	1	0
129	2	7	52	0	20	161	0	1	1
129	2	4	44	0	20	161	0	1	1
130	1	2	90	0	20	161	0	1	0
130	2	9	65	0	20	161	0	1	1
130	2	12	59	0	20	161	0	1	1
131	1	3	10	0	20	161	0	1	0
131	1	11	1	0	20	161	0	1	0
131	2	5	78	0	20	161	0	1	1
131	2	14	72	0	20	161	0	1	1
132	1	10	31	0	20	161	0	1	0
132	1	6	20	0	20	161	0	1	0
132	2	8	83	0	20	161	0	1	1
132	2	13	87	0	0	7	0	1	1
133	1	1	39	0	20	161	0	1	0
133	1	4	44	0	20	161	0	1	0
133	2	2	90	0	20	161	0	1	1
133	2	15	92	0	0	7	0	1	1
134	1	12	59	0	20	161	0	1	0
134	2	3	10	0	20	161	0	1	1
134	2	11	1	0	20	161	0	1	1
135	1	9	65	0	20	161	0	1	0
135	1	14	72	0	20	161	0	1	0
135	2	6	20	0	20	161	0	1	1
135	2	10	31	0	20	161	0	1	1
136	1	8	83	0	20	161	0	1	0
136	1	5	78	0	20	161	0	1	0
136	2	1	39	0	20	161	0	1	1
136	2	4	44	0	20	161	0	1	1
137	1	2	90	0	20	161	0	1	0
137	2	7	52	0	20	161	0	1	1
137	2	12	59	0	20	161	0	1	1
138	1	11	1	0	20	161	0	1	0
138	1	15	92	0	20	161	0	1	0
138	2	9	65	0	20	161	0	1	1
138	2	14	72	0	20	161	0	1	1
139	1	3	10	0	20	161	0	1	0
139	1	6	20	0	20	161	0	1	0
139	2	5	78	0	20	161	0	1	1
139	2	8	83	0	20	161	0	1	1
140	1	1	39	0	20	161	0	1	0
140	1	10	31	0	20	161	0	1	0
140	2	2	90	0	20	161	0	1	1
140	2	13	87	0	20	161	0	1	1
141	1	4	44	0	20	161	0	1	0
141	1	7	52	0	20	161	0	1	0
141	2	15	92	0	20	161	0	1	1
141	2	11	1	0	20	161	0	1	1
