% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
23	1	11	1	0	0	19	0	1	0
23	2	11	1	0	0	19	0	1	1
24	1	11	1	0	0	19	0	1	0
24	2	11	1	0	0	19	0	1	1
25	1	11	1	0	0	19	0	1	0
25	2	11	1	0	0	19	0	1	1
26	1	11	1	0	0	19	0	1	0
26	2	11	1	0	0	19	0	1	1
27	1	11	1	0	0	19	0	1	0
27	2	11	1	0	0	19	0	1	1
28	1	3	10	0	0	19	0	1	0
28	2	3	10	0	0	19	0	1	1
29	1	11	1	0	28	549	0	1	0
29	2	11	1	0	28	549	0	1	1
30	1	11	1	0	28	549	0	1	0
